Country,Continent,Life_expectancy,ADs,Alcohol,Income,Status
Afghanistan,Asia,65.0,-2.302585092994045,0.01,0.479,Developing
Albania,Europe,77.8,-2.302585092994045,4.6,0.762,Developing
Algeria,Africa,75.6,-2.302585092994045,0.0,0.743,Developing
Angola,Africa,52.4,0.6418538861723947,0.0,0.531,Developing
Antigua and Barbuda,North America,76.4,-1.6094379124341005,0.0,0.784,Developing
Argentina,South America,76.3,-2.302585092994045,0.0,0.826,Developing
Armenia,Asia,74.8,-2.302585092994045,0.0,0.741,Developing
Australia,Australia,82.8,-2.302585092994045,0.0,0.937,Developed
Austria,Europe,81.5,-2.302585092994045,0.0,0.892,Developed
Azerbaijan,Asia,72.7,-2.302585092994045,0.0,0.758,Developing
Bahrain,Asia,76.9,-2.302585092994045,0.0,0.823,Developing
Bangladesh,Asia,71.8,-2.302585092994045,0.0,0.575,Developing
Barbados,North America,75.5,-2.302585092994045,0.0,0.794,Developing
Belarus,Europe,72.3,-2.302585092994045,0.0,0.798,Developing
Belgium,Europe,81.1,-2.302585092994045,0.0,0.895,Developed
Belize,North America,71.0,-1.6094379124341005,0.0,0.706,Developing
Benin,Africa,60.0,0.0,0.0,0.481,Developing
Bhutan,Asia,69.8,-0.6931471805599453,0.0,0.604,Developing
Bosnia and Herzegovina,Europe,77.4,-2.302585092994045,0.0,0.747,Developing
Botswana,Africa,65.7,0.7884573603642703,0.0,0.698,Developing
Brazil,South America,75.0,-2.302585092994045,0.0,0.754,Developing
Brunei Darussalam,Asia,77.7,-2.302585092994045,0.0,0.864,Developing
Bulgaria,Europe,74.5,-2.302585092994045,0.0,0.792,Developed
Burkina Faso,Africa,59.9,-0.5108256237659907,0.0,0.399,Developing
Burundi,Africa,59.6,-0.3566749439387324,0.0,0.406,Developing
Cabo Verde,Africa,73.3,-1.6094379124341005,0.0,0.646,Developing
Cambodia,Asia,68.7,-1.6094379124341005,0.0,0.558,Developing
Cameroon,Africa,57.3,1.252762968495368,0.0,0.514,Developing
Canada,North America,82.2,-2.302585092994045,0.0,0.919,Developing
Central African Republic,Africa,52.5,1.4816045409242156,0.0,0.347,Developing
Chad,Africa,53.1,1.029619417181158,0.0,0.394,Developing
Chile,South America,85.0,-2.302585092994045,0.0,0.845,Developing
China,Asia,76.1,-2.302585092994045,0.0,0.734,Developing
